STATE,STATENAME,ST_CASE,VE_TOTAL,VE_FORMS,PVH_INVL,PEDS,PERSONS,PERMVIT,PERNOTMVIT,COUNTY,COUNTYNAME,CITY,CITYNAME,DAY,DAYNAME,MONTH,MONTHNAME,YEAR,DAY_WEEK,DAY_WEEKNAME,HOUR,HOURNAME,MINUTE,MINUTENAME,NHS,NHSNAME,ROUTE,ROUTENAME,TWAY_ID,TWAY_ID2,RUR_URB,RUR_URBNAME,FUNC_SYS,FUNC_SYSNAME,RD_OWNER,RD_OWNERNAME,MILEPT,MILEPTNAME,LATITUDE,LATITUDENAME,LONGITUD,LONGITUDNAME,SP_JUR,SP_JURNAME,HARM_EV,HARM_EVNAME,MAN_COLL,MAN_COLLNAME,RELJCT1,RELJCT1NAME,RELJCT2,RELJCT2NAME,TYP_INT,TYP_INTNAME,WRK_ZONE,WRK_ZONENAME,REL_ROAD,REL_ROADNAME,LGT_COND,LGT_CONDNAME,WEATHER1,WEATHER1NAME,WEATHER2,WEATHER2NAME,WEATHER,WEATHERNAME,SCH_BUS,SCH_BUSNAME,RAIL,RAILNAME,NOT_HOUR,NOT_HOURNAME,NOT_MIN,NOT_MINNAME,ARR_HOUR,ARR_HOURNAME,ARR_MIN,ARR_MINNAME,HOSP_HR,HOSP_HRNAME,HOSP_MN,HOSP_MNNAME,CF1,CF1NAME,CF2,CF2NAME,CF3,CF3NAME,FATALS,DRUNK_DR
4,Arizona,40242,1,1,0,0,2,2,0,13,MARICOPA (13),0,NOT APPLICABLE,13,13,4,April,2016,4,Wednesday,17,5:00pm-5:59pm,8,8,0,This section IS NOT on the NHS,5,Local Street - Township,NAVAJO DR,,2,Urban,7,Local,98,Not Reported,0,None,33.20474444,33.20474444,-111.8469917,-111.84699167,0,No Special Jurisdiction,18,Other Object (not fixed),0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,1,On Roadway,5,Dusk,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,17,5:00pm-5:59pm,8,8,17,5:00pm-5:59pm,12,12,17,5:00pm-5:59pm,35,35,0,None,0,None,0,None,1,0
4,Arizona,40833,1,1,0,0,1,1,0,13,MARICOPA (13),200,GLENDALE,13,13,4,April,2016,4,Wednesday,18,6:00pm-6:59pm,8,8,0,This section IS NOT on the NHS,6,Local Street - Municipality,GEORGIA AVE,,2,Urban,7,Local,98,Not Reported,0,None,33.51438611,33.51438611,-112.2232611,-112.22326111,0,No Special Jurisdiction,41,Shrubbery,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,5,Outside Trafficway,1,Daylight,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,18,6:00pm-6:59pm,7,7,18,6:00pm-6:59pm,12,12,18,6:00pm-6:59pm,42,42,0,None,0,None,0,None,1,0
6,California,60364,1,1,0,0,1,1,0,37,LOS ANGELES (37),1980,LOS ANGELES,13,13,4,April,2016,4,Wednesday,19,7:00pm-7:59pm,45,45,1,This section IS ON the NHS,1,Interstate,I-5,,2,Urban,1,Interstate,1,State Highway Agency,437,437,34.31235,34.31235,-118.487275,-118.487275,0,No Special Jurisdiction,33,Curb,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,4,On Roadside,3,Dark - Lighted,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,0,None,0,None,0,None,1,0
6,California,60378,1,1,0,0,1,1,0,71,SAN BERNARDINO (71),0,NOT APPLICABLE,13,13,4,April,2016,4,Wednesday,21,9:00pm-9:59pm,41,41,0,This section IS NOT on the NHS,4,County Road,CR-BEAR VLY RD,OASIS RD,1,Rural,5,Major Collector,2,County Highway Agency,0,None,34.46997778,34.46997778,-117.6432444,-117.64324444,0,No Special Jurisdiction,35,Embankment,0,Not a Collision with Motor Vehicle In-Transport,0,No,3,Intersection-Related,3,T-Intersection,0,None,4,On Roadside,2,Dark - Not Lighted,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,0,None,0,None,0,None,1,1
6,California,60529,2,2,0,0,2,2,0,77,SAN JOAQUIN (77),0,NOT APPLICABLE,13,13,4,April,2016,4,Wednesday,20,8:00pm-8:59pm,25,25,1,This section IS ON the NHS,1,Interstate,I-5,,1,Rural,1,Interstate,1,State Highway Agency,99,99,37.73064167,37.73064167,-121.3433556,-121.34335556,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,2,Front-to-Front,0,No,1,Non-Junction,1,Not an Intersection,0,None,1,On Roadway,2,Dark - Not Lighted,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,0,None,0,None,0,None,1,1
6,California,61596,1,1,0,0,1,1,0,73,SAN DIEGO (73),0,NOT APPLICABLE,13,13,4,April,2016,4,Wednesday,23,11:00pm-11:59pm,20,20,1,This section IS ON the NHS,1,Interstate,I-5,,1,Rural,1,Interstate,1,State Highway Agency,634,634,33.31238889,33.31238889,-117.4805194,-117.48051944,0,No Special Jurisdiction,24,Guardrail Face,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,3,On Median,2,Dark - Not Lighted,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),0,None,0,None,0,None,1,0
8,Colorado,80107,2,2,0,0,3,3,0,117,SUMMIT (117),0,NOT APPLICABLE,13,13,4,April,2016,4,Wednesday,23,11:00pm-11:59pm,9,9,1,This section IS ON the NHS,1,Interstate,I-70,,1,Rural,1,Interstate,1,State Highway Agency,1930,1930,39.505925,39.505925,-106.1822889,-106.18228889,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,2,Front-to-Front,0,No,1,Non-Junction,1,Not an Intersection,0,None,1,On Roadway,2,Dark - Not Lighted,98,Not Reported,0,No Additional Atmospheric Conditions,98,Not Reported,0,No,0000000,Not Applicable,23,11:00pm-11:59pm,9,9,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,0,None,0,None,0,None,1,1
12,Florida,120647,1,1,0,1,1,1,1,31,DUVAL (31),1510,JACKSONVILLE,13,13,4,April,2016,4,Wednesday,21,9:00pm-9:59pm,29,29,1,This section IS ON the NHS,2,U.S. Highway,US-1,,2,Urban,3,Principal Arterial - Other,1,State Highway Agency,99998,Not Reported,30.35938056,30.35938056,-81.65367222,-81.65367222,0,No Special Jurisdiction,8,Pedestrian,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,1,On Roadway,3,Dark - Lighted,10,Cloudy,0,No Additional Atmospheric Conditions,10,Cloudy,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,0,None,0,None,0,None,1,0
12,Florida,120687,1,1,0,0,1,1,0,81,MANATEE (81),0,NOT APPLICABLE,13,13,4,April,2016,4,Wednesday,17,5:00pm-5:59pm,20,20,0,This section IS NOT on the NHS,5,Local Street - Township,UPPER MANATEE RIVER RD,,2,Urban,6,Minor Collector,25,Other Local Agency,99998,Not Reported,27.50611944,27.50611944,-82.43361111,-82.43361111,0,No Special Jurisdiction,42,Tree (Standing Only),0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,4,On Roadside,1,Daylight,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,0,None,0,None,0,None,1,0
13,Georgia,130372,1,1,0,0,1,1,0,139,HALL (139),0,NOT APPLICABLE,13,13,4,April,2016,4,Wednesday,19,7:00pm-7:59pm,14,14,0,This section IS NOT on the NHS,4,County Road,CR-1150 / WILL WALLACE RD,,2,Urban,7,Local,2,County Highway Agency,3,3,34.37553611,34.37553611,-83.92116944,-83.92116944,0,No Special Jurisdiction,53,Mail Box,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,4,On Roadside,1,Daylight,10,Cloudy,0,No Additional Atmospheric Conditions,10,Cloudy,0,No,0000000,Not Applicable,19,7:00pm-7:59pm,15,15,19,7:00pm-7:59pm,22,22,19,7:00pm-7:59pm,47,47,0,None,0,None,0,None,1,1
