STATE,STATENAME,ST_CASE,VE_TOTAL,VE_FORMS,PVH_INVL,PEDS,PERSONS,PERMVIT,PERNOTMVIT,COUNTY,CITY,DAY,DAYNAME,MONTH,MONTHNAME,YEAR,DAY_WEEK,DAY_WEEKNAME,HOUR,HOURNAME,MINUTE,MINUTENAME,NHS,NHSNAME,ROUTE,ROUTENAME,TWAY_ID,TWAY_ID2,RUR_URB,RUR_URBNAME,FUNC_SYS,FUNC_SYSNAME,RD_OWNER,RD_OWNERNAME,MILEPT,MILEPTNAME,LATITUDE,LATITUDENAME,LONGITUD,LONGITUDNAME,SP_JUR,SP_JURNAME,HARM_EV,HARM_EVNAME,MAN_COLL,MAN_COLLNAME,RELJCT1,RELJCT1NAME,RELJCT2,RELJCT2NAME,TYP_INT,TYP_INTNAME,WRK_ZONE,WRK_ZONENAME,REL_ROAD,REL_ROADNAME,LGT_COND,LGT_CONDNAME,WEATHER1,WEATHER1NAME,WEATHER2,WEATHER2NAME,WEATHER,WEATHERNAME,SCH_BUS,SCH_BUSNAME,RAIL,RAILNAME,NOT_HOUR,NOT_HOURNAME,NOT_MIN,NOT_MINNAME,ARR_HOUR,ARR_HOURNAME,ARR_MIN,ARR_MINNAME,HOSP_HR,HOSP_HRNAME,HOSP_MN,HOSP_MNNAME,CF1,CF1NAME,CF2,CF2NAME,CF3,CF3NAME,FATALS,DRUNK_DR
1,Alabama,10208,1,1,0,1,1,1,1,125,3050,20,20,4,April,2015,2,Monday,23,11:00pm-11:59pm,0,0,1,This section IS ON the NHS,3,State Highway,SR-215,,2,Urban,3,Principal Arterial - Other,1,State Highway Agency,0,None,33.19108333,33.19108333,-87.46343333,-87.46343333,0,No Special Jurisdiction,8,Pedestrian,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,1,On Roadway,2,Dark - Not Lighted,10,Cloudy,0,No Additional Atmospheric Conditions,10,Cloudy,0,No,0000000,Not Applicable,23,11:00pm-11:59pm,1,1,23,11:00pm-11:59pm,7,7,23,11:00pm-11:59pm,32,32,0,None,0,None,0,None,1,0
6,California,61332,1,1,0,0,4,4,0,1,0,20,20,4,April,2015,2,Monday,20,8:00pm-8:59pm,50,50,0,This section IS NOT on the NHS,4,County Road,CR-PALOMARES,,1,Rural,5,Major Collector,98,Not Reported,0,None,37.6214,37.6214,-121.9437111,-121.94371111,0,No Special Jurisdiction,35,Embankment,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,4,On Roadside,2,Dark - Not Lighted,10,Cloudy,0,No Additional Atmospheric Conditions,10,Cloudy,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,0,None,0,None,0,None,1,0
12,Florida,120630,1,1,0,0,1,1,0,101,0,20,20,4,April,2015,2,Monday,18,6:00pm-6:59pm,45,45,0,This section IS NOT on the NHS,6,Local Street - Municipality,RANCH RD,,2,Urban,7,Local,25,Other Local Agency,99998,Not Reported,28.31685833,28.31685833,-82.69523889,-82.69523889,0,No Special Jurisdiction,38,Fence,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,5,Outside Trafficway,1,Daylight,10,Cloudy,0,No Additional Atmospheric Conditions,10,Cloudy,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,0,None,0,None,0,None,1,0
12,Florida,120660,1,1,0,1,1,1,1,71,0,20,20,4,April,2015,2,Monday,23,11:00pm-11:59pm,0,0,1,This section IS ON the NHS,2,U.S. Highway,US-41,SAN CARLOS BLVD,2,Urban,3,Principal Arterial - Other,1,State Highway Agency,99998,Not Reported,26.46108889,26.46108889,-81.82836944,-81.82836944,0,No Special Jurisdiction,8,Pedestrian,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,1,On Roadway,2,Dark - Not Lighted,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),0,None,0,None,0,None,1,0
12,Florida,120795,1,1,0,0,1,1,0,57,0,20,20,4,April,2015,2,Monday,23,11:00pm-11:59pm,50,50,0,This section IS NOT on the NHS,3,State Highway,SR-585,3RD AVE SE,2,Urban,4,Minor Arterial,1,State Highway Agency,99998,Not Reported,27.71679722,27.71679722,-82.40651111,-82.40651111,0,No Special Jurisdiction,30,Utility Pole/Light Support,0,Not a Collision with Motor Vehicle In-Transport,0,No,3,Intersection-Related,2,Four-Way Intersection,0,None,4,On Roadside,3,Dark - Lighted,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,0,None,0,None,0,None,1,1
12,Florida,121027,2,2,0,0,3,3,0,57,0,20,20,4,April,2015,2,Monday,17,5:00pm-5:59pm,40,40,1,This section IS ON the NHS,2,U.S. Highway,US-301,,2,Urban,3,Principal Arterial - Other,1,State Highway Agency,99998,Not Reported,27.69449444,27.69449444,-82.34136389,-82.34136389,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,6,Angle,0,No,1,Non-Junction,1,Not an Intersection,0,None,1,On Roadway,1,Daylight,2,Rain,0,No Additional Atmospheric Conditions,2,Rain,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,0,None,0,None,0,None,1,0
12,Florida,121100,1,1,0,1,2,2,1,86,0,20,20,4,April,2015,2,Monday,22,10:00pm-10:59pm,40,40,1,This section IS ON the NHS,1,Interstate,I-195,,2,Urban,1,Interstate,1,State Highway Agency,99998,Not Reported,25.81059444,25.81059444,-80.17942222,-80.17942222,0,No Special Jurisdiction,23,Bridge Rail (Includes parapet),0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,4,On Roadside,3,Dark - Lighted,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,0,None,0,None,0,None,1,0
13,Georgia,130381,2,2,0,0,2,2,0,13,0,20,20,4,April,2015,2,Monday,23,11:00pm-11:59pm,45,45,1,This section IS ON the NHS,3,State Highway,SR-316,,2,Urban,3,Principal Arterial - Other,1,State Highway Agency,7,7,33.96775278,33.96775278,-83.81926667,-83.81926667,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,1,Front-to-Rear,0,No,1,Non-Junction,1,Not an Intersection,0,None,1,On Roadway,2,Dark - Not Lighted,10,Cloudy,0,No Additional Atmospheric Conditions,10,Cloudy,0,No,0000000,Not Applicable,99,Unknown,98,Unknown if Notified,99,Unknown EMS Scene Arrival Hour,98,Unknown if Arrived,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),0,None,0,None,0,None,1,0
17,Illinois,170181,1,1,0,0,2,2,0,163,0,20,20,4,April,2015,2,Monday,17,5:00pm-5:59pm,39,39,1,This section IS ON the NHS,1,Interstate,I-64,,2,Urban,1,Interstate,1,State Highway Agency,46,46,38.62060556,38.62060556,-90.11373889,-90.11373889,0,No Special Jurisdiction,31,"Other Post, Other Pole or Other Supports",0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,4,On Roadside,1,Daylight,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,17,5:00pm-5:59pm,39,39,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),0,None,0,None,0,None,2,0
17,Illinois,170243,2,2,0,0,2,2,0,201,7460,20,20,4,April,2015,2,Monday,16,4:00pm-4:59pm,29,29,1,This section IS ON the NHS,2,U.S. Highway,US-20 (JEFFERSON),SR-251 (3RD ST),2,Urban,3,Principal Arterial - Other,1,State Highway Agency,177,177,42.26895833,42.26895833,-89.08470278,-89.08470278,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,6,Angle,0,No,2,Intersection,2,Four-Way Intersection,0,None,1,On Roadway,1,Daylight,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,16,4:00pm-4:59pm,30,30,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,0,None,0,None,0,None,1,0
