STATE,STATENAME,ST_CASE,VE_TOTAL,VE_FORMS,PVH_INVL,PEDS,PERSONS,PERMVIT,PERNOTMVIT,COUNTY,COUNTYNAME,CITY,CITYNAME,DAY,DAYNAME,MONTH,MONTHNAME,YEAR,DAY_WEEK,DAY_WEEKNAME,HOUR,HOURNAME,MINUTE,MINUTENAME,NHS,NHSNAME,ROUTE,ROUTENAME,TWAY_ID,TWAY_ID2,RUR_URB,RUR_URBNAME,FUNC_SYS,FUNC_SYSNAME,RD_OWNER,RD_OWNERNAME,MILEPT,MILEPTNAME,LATITUDE,LATITUDENAME,LONGITUD,LONGITUDNAME,SP_JUR,SP_JURNAME,HARM_EV,HARM_EVNAME,MAN_COLL,MAN_COLLNAME,RELJCT1,RELJCT1NAME,RELJCT2,RELJCT2NAME,TYP_INT,TYP_INTNAME,WRK_ZONE,WRK_ZONENAME,REL_ROAD,REL_ROADNAME,LGT_COND,LGT_CONDNAME,WEATHER1,WEATHER1NAME,WEATHER2,WEATHER2NAME,WEATHER,WEATHERNAME,SCH_BUS,SCH_BUSNAME,RAIL,RAILNAME,NOT_HOUR,NOT_HOURNAME,NOT_MIN,NOT_MINNAME,ARR_HOUR,ARR_HOURNAME,ARR_MIN,ARR_MINNAME,HOSP_HR,HOSP_HRNAME,HOSP_MN,HOSP_MNNAME,CF1,CF1NAME,CF2,CF2NAME,CF3,CF3NAME,FATALS,DRUNK_DR
1,Alabama,10189,1,1,0,0,1,1,0,79,LAWRENCE (79),0,NOT APPLICABLE,20,20,4,April,2016,4,Wednesday,21,9:00pm-9:59pm,15,15,0,This section IS NOT on the NHS,4,County Road,CR-312,,1,Rural,7,Local,2,County Highway Agency,0,None,34.54984167,34.54984167,-87.25101389,-87.25101389,0,No Special Jurisdiction,34,Ditch,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,4,On Roadside,2,Dark - Not Lighted,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,21,9:00pm-9:59pm,19,19,21,9:00pm-9:59pm,28,28,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),0,None,0,None,0,None,1,1
5,Arkansas,50130,1,1,0,0,1,1,0,27,COLUMBIA (27),0,NOT APPLICABLE,20,20,4,April,2016,4,Wednesday,23,11:00pm-11:59pm,30,30,0,This section IS NOT on the NHS,3,State Highway,SR-98-01,,1,Rural,4,Minor Arterial,1,State Highway Agency,6,6,33.35046944,33.35046944,-93.33050556,-93.33050556,0,No Special Jurisdiction,24,Guardrail Face,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,4,On Roadside,2,Dark - Not Lighted,5,"Fog, Smog, Smoke",0,No Additional Atmospheric Conditions,5,"Fog, Smog, Smoke",0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),0,None,0,None,0,None,1,1
6,California,60483,2,2,0,2,2,2,2,37,LOS ANGELES (37),1980,LOS ANGELES,20,20,4,April,2016,4,Wednesday,23,11:00pm-11:59pm,45,45,0,This section IS NOT on the NHS,6,Local Street - Municipality,VISTA DEL MAR,,2,Urban,4,Minor Arterial,4,City or Municipal Highway Agency,0,None,33.93408056,33.93408056,-118.4366,-118.4366,0,No Special Jurisdiction,8,Pedestrian,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,1,On Roadway,2,Dark - Not Lighted,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,0,None,0,None,0,None,1,0
6,California,60623,1,1,0,0,1,1,0,85,SANTA CLARA (85),2182,MILPITAS,20,20,4,April,2016,4,Wednesday,19,7:00pm-7:59pm,39,39,0,This section IS NOT on the NHS,6,Local Street - Municipality,WINSOR ST,,2,Urban,7,Local,4,City or Municipal Highway Agency,0,None,37.43208889,37.43208889,-121.9063722,-121.90637222,0,No Special Jurisdiction,19,Building,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,4,On Roadside,1,Daylight,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,0,None,0,None,0,None,1,1
6,California,60698,1,1,0,1,1,1,1,67,SACRAMENTO (67),0,NOT APPLICABLE,20,20,4,April,2016,4,Wednesday,20,8:00pm-8:59pm,56,56,0,This section IS NOT on the NHS,4,County Road,CR-EXCELSIOR ROAD,,1,Rural,3,Principal Arterial - Other,2,County Highway Agency,0,None,38.47998889,38.47998889,-121.2976444,-121.29764444,0,No Special Jurisdiction,8,Pedestrian,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,1,On Roadway,2,Dark - Not Lighted,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),0,None,0,None,0,None,1,0
6,California,61668,1,1,0,1,1,1,1,65,RIVERSIDE (65),2730,PERRIS,20,20,4,April,2016,4,Wednesday,16,4:00pm-4:59pm,43,43,0,This section IS NOT on the NHS,6,Local Street - Municipality,4TH ST,B ST,2,Urban,7,Local,4,City or Municipal Highway Agency,0,None,33.78235,33.78235,-117.2323333,-117.23233333,0,No Special Jurisdiction,9,Pedalcyclist,0,Not a Collision with Motor Vehicle In-Transport,0,No,3,Intersection-Related,2,Four-Way Intersection,0,None,1,On Roadway,1,Daylight,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,0,None,0,None,0,None,1,0
6,California,63198,1,1,0,1,1,1,1,85,SANTA CLARA (85),3340,SAN JOSE,20,20,4,April,2016,4,Wednesday,23,11:00pm-11:59pm,44,44,0,This section IS NOT on the NHS,6,Local Street - Municipality,STORY RD,,2,Urban,3,Principal Arterial - Other,4,City or Municipal Highway Agency,0,None,37.33337222,37.33337222,-121.8525056,-121.85250556,0,No Special Jurisdiction,8,Pedestrian,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,1,On Roadway,3,Dark - Lighted,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,0,None,0,None,0,None,1,0
9,Connecticut,90045,1,1,0,1,1,1,1,15,WINDHAM (15),12,ASHFORD,20,20,4,April,2016,4,Wednesday,22,10:00pm-10:59pm,15,15,0,This section IS NOT on the NHS,2,U.S. Highway,US-44,,1,Rural,4,Minor Arterial,1,State Highway Agency,797,797,41.84346389,41.84346389,-72.2133,-72.2133,0,No Special Jurisdiction,8,Pedestrian,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,1,On Roadway,2,Dark - Not Lighted,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,22,10:00pm-10:59pm,14,14,22,10:00pm-10:59pm,26,26,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),0,None,0,None,0,None,1,0
9,Connecticut,90074,1,1,0,0,2,2,0,5,LITCHFIELD (5),286,HARWINTON,20,20,4,April,2016,4,Wednesday,16,4:00pm-4:59pm,37,37,0,This section IS NOT on the NHS,3,State Highway,SR-118,,2,Urban,5,Major Collector,1,State Highway Agency,54,54,41.76326111,41.76326111,-73.11025278,-73.11025278,0,No Special Jurisdiction,35,Embankment,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,4,On Roadside,1,Daylight,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,16,4:00pm-4:59pm,37,37,16,4:00pm-4:59pm,42,42,99,Unknown,99,Unknown EMS Hospital Arrival Time,0,None,0,None,0,None,1,1
9,Connecticut,90076,2,2,0,0,2,2,0,9,NEW HAVEN (9),538,ORANGE,20,20,4,April,2016,4,Wednesday,21,9:00pm-9:59pm,1,1,1,This section IS ON the NHS,3,State Highway,SR-34,CHESTNUT RIDGE ROAD,2,Urban,3,Principal Arterial - Other,1,State Highway Agency,197,197,41.29945278,41.29945278,-72.99256667,-72.99256667,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,6,Angle,0,No,2,Intersection,2,Four-Way Intersection,0,None,1,On Roadway,2,Dark - Not Lighted,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,99,Unknown,98,Unknown if Notified,99,Unknown EMS Scene Arrival Hour,98,Unknown if Arrived,99,Unknown,98,Unknown if Transported,0,None,0,None,0,None,1,0
